dataset,configuration,cvi,algorithm
xclara,"[[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=91)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=20)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=5)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=6)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=59)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=58)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=66)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
disk-4000n,"[[Birch(branching_factor=8,compute_labels=False,copy=True,n_clusters=3,threshold=0.6066149718103402)],[Birch(branching_factor=3,compute_labels=True,copy=False,n_clusters=3,threshold=1.950233979632475)],[Birch(branching_factor=1,compute_labels=False,copy=False,n_clusters=3,threshold=0.7136622415671501)],[Birch(branching_factor=41,compute_labels=True,copy=False,n_clusters=3,threshold=0.7229371928250361)],[Birch(branching_factor=82,compute_labels=False,copy=True,n_clusters=3,threshold=0.8716497315531753)],[Birch(branching_factor=83,compute_labels=True,copy=True,n_clusters=3,threshold=1.249283829139712)],[Birch(branching_factor=46,compute_labels=True,copy=False,n_clusters=3,threshold=1.473954790931731)],[Birch(branching_factor=17,compute_labels=True,copy=True,n_clusters=3,threshold=1.5916631333751643)],[Birch(branching_factor=24,compute_labels=False,copy=False,n_clusters=3,threshold=0.9293177301133346)],[Birch(branching_factor=56,compute_labels=False,copy=False,n_clusters=3,threshold=1.9023376064726776)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
simplex,"[[DBSCAN(algorithm='auto',eps=0.5,leaf_size=1,metric='cityblock',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=0.5,leaf_size=3,metric='cityblock',metric_params=None,min_samples=100,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=0.3,leaf_size=3,metric='l1',metric_params=None,min_samples=15,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=0.3,leaf_size=2,metric='euclidean',metric_params=None,min_samples=20,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=0.3,leaf_size=1,metric='manhattan',metric_params=None,min_samples=30,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=0.3,leaf_size=3,metric='l1',metric_params=None,min_samples=15,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=0.3,leaf_size=1,metric='cityblock',metric_params=None,min_samples=15,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=0.3,leaf_size=3,metric='l1',metric_params=None,min_samples=20,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=0.3,leaf_size=3,metric='manhattan',metric_params=None,min_samples=10,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=0.5,leaf_size=2,metric='manhattan',metric_params=None,min_samples=100,n_jobs=None,p=2)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
dense-disk-3000n,"[[Birch(branching_factor=71,compute_labels=True,copy=True,n_clusters=3,threshold=1.6355555921895708)],[Birch(branching_factor=48,compute_labels=False,copy=True,n_clusters=3,threshold=0.6392070457833934)],[Birch(branching_factor=14,compute_labels=False,copy=False,n_clusters=3,threshold=1.135159334455536)],[Birch(branching_factor=65,compute_labels=True,copy=False,n_clusters=3,threshold=1.821223072343965)],[Birch(branching_factor=47,compute_labels=False,copy=True,n_clusters=3,threshold=1.2991584769565376)],[Birch(branching_factor=83,compute_labels=False,copy=True,n_clusters=3,threshold=0.7159756807909474)],[Birch(branching_factor=46,compute_labels=True,copy=False,n_clusters=3,threshold=0.610755318544134)],[Birch(branching_factor=50,compute_labels=True,copy=True,n_clusters=3,threshold=0.6931576277532807)],[Birch(branching_factor=48,compute_labels=True,copy=True,n_clusters=3,threshold=1.5287772601584537)],[Birch(branching_factor=35,compute_labels=False,copy=True,n_clusters=3,threshold=1.0305549315042692)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
fourty,"[[Birch(branching_factor=62,compute_labels=True,copy=False,n_clusters=3,threshold=0.20332510237818655)],[Birch(branching_factor=71,compute_labels=False,copy=True,n_clusters=3,threshold=0.516040450748551)],[Birch(branching_factor=50,compute_labels=True,copy=True,n_clusters=3,threshold=1.1988399896268547)],[Birch(branching_factor=40,compute_labels=False,copy=True,n_clusters=3,threshold=1.8164973656450123)],[Birch(branching_factor=87,compute_labels=True,copy=False,n_clusters=3,threshold=1.258341321476972)],[Birch(branching_factor=78,compute_labels=True,copy=False,n_clusters=3,threshold=0.8161522718367713)],[Birch(branching_factor=67,compute_labels=True,copy=True,n_clusters=3,threshold=0.9946056454370511)],[Birch(branching_factor=5,compute_labels=False,copy=True,n_clusters=3,threshold=1.0065347508588505)],[Birch(branching_factor=43,compute_labels=False,copy=False,n_clusters=3,threshold=0.2484737119108385)],[Birch(branching_factor=13,compute_labels=False,copy=False,n_clusters=3,threshold=1.1980058406857883)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
smile2,"[[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=17)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=88)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=78)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=87)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=23)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=61)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=34)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
ds850,"[[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.9776365470128401,max_iter=284,preference=None,verbose=False)],[AffinityPropagation(affinity='precomputed',convergence_iter=15,copy=True,damping=0.9550381334935555,max_iter=289,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.6987229134658914,max_iter=102,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.7731250564903523,max_iter=109,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.585530268654135,max_iter=108,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.782596639992605,max_iter=247,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.7518828552658754,max_iter=256,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.8126447214975656,max_iter=179,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.8620848499734172,max_iter=170,preference=None,verbose=False)],[AffinityPropagation(affinity='precomputed',convergence_iter=15,copy=True,damping=0.6675117643451824,max_iter=245,preference=None,verbose=False)]]","[['s_dbw', -1], ['i_index', 1], ['banfeld_raferty', -1]]",ap
cluto-t7-10k,"[[DBSCAN(algorithm='kd_tree',eps=9,leaf_size=2,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='ball_tree',eps=10,leaf_size=2,metric='l1',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=10,leaf_size=2,metric='l1',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=10,leaf_size=3,metric='l2',metric_params=None,min_samples=15,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=10,leaf_size=3,metric='l2',metric_params=None,min_samples=15,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=10,leaf_size=1,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='kd_tree',eps=8,leaf_size=1,metric='manhattan',metric_params=None,min_samples=5,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=10,leaf_size=1,metric='cityblock',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=10,leaf_size=1,metric='euclidean',metric_params=None,min_samples=15,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=10,leaf_size=2,metric='cityblock',metric_params=None,min_samples=10,n_jobs=None,p=2)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
smile3,"[[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=26)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=28)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=57)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=33)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=36)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=81)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
disk-5000n,"[[DBSCAN(algorithm='brute',eps=0.8,leaf_size=2,metric='manhattan',metric_params=None,min_samples=20,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=0.5,leaf_size=1,metric='euclidean',metric_params=None,min_samples=15,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=0.8,leaf_size=3,metric='l1',metric_params=None,min_samples=20,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=1,leaf_size=1,metric='euclidean',metric_params=None,min_samples=50,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=2,leaf_size=3,metric='l2',metric_params=None,min_samples=200,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=0.8,leaf_size=1,metric='l1',metric_params=None,min_samples=20,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=0.8,leaf_size=2,metric='cityblock',metric_params=None,min_samples=20,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=0.8,leaf_size=3,metric='manhattan',metric_params=None,min_samples=20,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=0.8,leaf_size=2,metric='manhattan',metric_params=None,min_samples=20,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=1,leaf_size=3,metric='euclidean',metric_params=None,min_samples=50,n_jobs=None,p=3)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
jain,"[[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=73)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=30)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=88)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=34)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=93)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=100)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=99)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
smile1,"[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=0.5448755208003746,kernel_params=None,n_clusters=55,n_components=None,n_init=17,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.99951799797124,kernel_params=None,n_clusters=97,n_components=None,n_init=11,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.959646585391639,kernel_params=None,n_clusters=61,n_components=None,n_init=16,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.3145997492459658,kernel_params=None,n_clusters=48,n_components=None,n_init=20,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.3351239199495128,kernel_params=None,n_clusters=30,n_components=None,n_init=19,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.0818517076946765,kernel_params=None,n_clusters=17,n_components=None,n_init=6,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.406086541818173,kernel_params=None,n_clusters=15,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.8541047456593542,kernel_params=None,n_clusters=83,n_components=None,n_init=5,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.8931398122448098,kernel_params=None,n_clusters=24,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.5334425905725646,kernel_params=None,n_clusters=32,n_components=None,n_init=11,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
spiral,"[[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=2)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=53)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=2)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=36)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=67)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=83)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=42)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=2)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=2)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=2)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
2dnormals,"[[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=False,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=True,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=True,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=True,cluster_all=False,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=False,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=1,bin_seeding=True,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",meanshift
sonar,"[[DBSCAN(algorithm='brute',eps=0.5,leaf_size=3,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=3,metric='euclidean',metric_params=None,min_samples=5,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=3,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=1,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=0.5,leaf_size=2,metric='euclidean',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=3,metric='euclidean',metric_params=None,min_samples=5,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=0.5,leaf_size=1,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=2,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=0.5,leaf_size=2,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=0.5,leaf_size=2,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=2)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
triangle1,"[[DBSCAN(algorithm='kd_tree',eps=5,leaf_size=1,metric='euclidean',metric_params=None,min_samples=15,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=4,leaf_size=2,metric='cityblock',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=5,leaf_size=3,metric='cityblock',metric_params=None,min_samples=20,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=5,leaf_size=2,metric='euclidean',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=5,leaf_size=3,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=4,leaf_size=3,metric='l2',metric_params=None,min_samples=200,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=5,leaf_size=3,metric='l1',metric_params=None,min_samples=20,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=3,leaf_size=2,metric='l1',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=3,leaf_size=2,metric='cityblock',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='ball_tree',eps=5,leaf_size=3,metric='manhattan',metric_params=None,min_samples=10,n_jobs=None,p=3)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
disk-4600n,"[[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.404598210456009,kernel_params=None,n_clusters=20,n_components=None,n_init=19,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.9312596237102233,kernel_params=None,n_clusters=54,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.1162896057969947,kernel_params=None,n_clusters=88,n_components=None,n_init=5,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.630318788054312,kernel_params=None,n_clusters=46,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.302340008226402,kernel_params=None,n_clusters=94,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.6994077380739373,kernel_params=None,n_clusters=15,n_components=None,n_init=17,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.703829344589771,kernel_params=None,n_clusters=32,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.1392948314790226,kernel_params=None,n_clusters=8,n_components=None,n_init=17,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.308046021413188,kernel_params=None,n_clusters=74,n_components=None,n_init=3,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.8038531382802709,kernel_params=None,n_clusters=71,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
